"species","decimalLongitude","decimalLatitude","year"
"150","Cardinalis cardinalis",-77.154732,38.895786,2024
"151","Cardinalis cardinalis",-95.585158,29.592358,2024
"152","Cardinalis cardinalis",-86.909381,33.400213,2024
"153","Cardinalis cardinalis",-82.093567,41.021978,2024
"154","Cardinalis cardinalis",-77.512703,43.192733,2024
"155","Cardinalis cardinalis",-95.591826,29.589398,2024
"156","Cardinalis cardinalis",-95.591826,29.589398,2024
"157","Cardinalis cardinalis",-77.956322,36.808337,2024
"158","Cardinalis cardinalis",-95.591826,29.589398,2024
"159","Cardinalis cardinalis",-87.634117,41.963378,2024
"160","Cardinalis cardinalis",-97.743061,30.267153,2024
"161","Cardinalis cardinalis",-97.743061,30.267153,2024
"162","Cardinalis cardinalis",-75.879768,45.363143,2024
"163","Cardinalis cardinalis",-87.634078,41.963862,2024
"164","Cardinalis cardinalis",-94.701896,33.009521,2024
"165","Cardinalis cardinalis",-82.397922,29.691155,2024
"166","Cardinalis cardinalis",-79.907963,40.436349,2024
"167","Cardinalis cardinalis",-87.833627,43.804727,2024
"168","Cardinalis cardinalis",-80.797725,32.371448,2024
"169","Cardinalis cardinalis",-80.689583,32.38129,2024
"170","Cardinalis cardinalis",-80.689587,32.381288,2024
"171","Cardinalis cardinalis",-97.329556,27.642926,2024
"172","Cardinalis cardinalis",-96.56158,33.136404,2024
"173","Cardinalis cardinalis",-96.56158,33.136404,2024
"174","Cardinalis cardinalis",-96.56158,33.136404,2024
"175","Cardinalis cardinalis",-96.56158,33.136404,2024
"176","Cardinalis cardinalis",-81.814528,26.235132,2024
"177","Cardinalis cardinalis",-97.079049,32.719794,2024
"178","Cardinalis cardinalis",-73.934333,45.470018,2024
"179","Cardinalis cardinalis",-75.067297,40.3287,2024
"180","Cardinalis cardinalis",-75.067297,40.3287,2024
"181","Cardinalis cardinalis",-81.098794,34.997544,2024
"182","Cardinalis cardinalis",-75.067297,40.3287,2024
"183","Cardinalis cardinalis",-91.127063,38.592593,2024
"184","Cardinalis cardinalis",-75.067297,40.3287,2024
"185","Cardinalis cardinalis",-80.141196,40.285284,2024
"186","Cardinalis cardinalis",-75.067297,40.3287,2024
"187","Cardinalis cardinalis",-88.202112,42.392403,2024
"188","Cardinalis cardinalis",-93.662903,41.725376,2024
"189","Cardinalis cardinalis",-93.743276,41.616799,2024
"190","Cardinalis cardinalis",-97.059055,36.116716,2024
"191","Cardinalis cardinalis",-74.395836,39.677723,2024
"192","Cardinalis cardinalis",-73.922427,40.879434,2024
"193","Cardinalis cardinalis",-75.067297,40.3287,2024
"194","Cardinalis cardinalis",-75.067297,40.3287,2024
"195","Cardinalis cardinalis",-72.47113,42.37825,2024
"196","Cardinalis cardinalis",-80.157799,40.327655,2024
"197","Cardinalis cardinalis",-75.067297,40.3287,2024
"198","Cardinalis cardinalis",-97.776532,30.436334,2024
"199","Cardinalis cardinalis",-75.067339,40.328651,2024
